model,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.7265,0.7179,0.7435,0.7305,0.8148,0.8004
Random Forest,0.7294,0.7076,0.7793,0.7417,0.8114,0.7887
XGBoost,0.7215,0.7063,0.7555,0.7301,0.7978,0.7625
